model_name,elo_overall,elo_math,elo_coding,elo_instruction_following,elo_creative_writing,elo_hard_prompts,elo_expert,AIME_score,AIME_rank,FrontierMath_Tier_1-3_score,FrontierMath_Tier_1-3_rank,FrontierMath_Tier_4_score,FrontierMath_Tier_4_rank,HMMT_Feb_2025_score,HMMT_Feb_2025_rank,MATH-500_score,MATH-500_rank,MGSM_score,MGSM_rank,Aider_Polyglot_score,Aider_Polyglot_rank,HumanEval_score,HumanEval_rank,IOI_score,IOI_rank,LiveCodeBench_score,LiveCodeBench_rank,SciCode_score,SciCode_rank,SWE-bench_Verified_score,SWE-bench_Verified_rank,SWE-bench_Bash_Only_score,SWE-bench_Bash_Only_rank,tau2-Bench_Telecom_score,tau2-Bench_Telecom_rank,Terminal-Bench_Hard_score,Terminal-Bench_Hard_rank,Terminal-Bench_v2_0_score,Terminal-Bench_v2_0_rank,IFBench_score,IFBench_rank,IFEval_score,IFEval_rank,Creative_Writing_v3_score,Creative_Writing_v3_rank,WritingBench_score,WritingBench_rank,AA-LCR_score,AA-LCR_rank,ARC-AGI-2_score,ARC-AGI-2_rank,FACTS_score,FACTS_rank,MMLU-Pro_score,MMLU-Pro_rank,GPQA_score,GPQA_rank,GPQA_Diamond_score,GPQA_Diamond_rank,Humanity_s_Last_Exam_score,Humanity_s_Last_Exam_rank,SuperGPQA_score,SuperGPQA_rank
deepseek-v3.1-thinking,1416.0,1422.0,1456.0,1415.0,1404.0,1435.0,1430.0,90.0,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78.0,17,39.0,23,NaN,NaN,NaN,NaN,37.0,37,24.0,18,NaN,NaN,42.0,34,NaN,NaN,NaN,NaN,NaN,NaN,53.0,24,NaN,NaN,NaN,NaN,85.0,11,NaN,NaN,78.0,18,13.0,17,NaN,NaN
deepseek-v3.2,1419.0,1425.0,1457.0,1411.0,1395.0,1443.0,1429.0,NaN,NaN,22.1,6,2.1,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
deepseek-v3.2-exp,1423.0,1419.0,1468.0,1412.0,1401.0,1446.0,1426.0,NaN,NaN,NaN,NaN,NaN,NaN,83.6,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,67.80000000000001,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79.9,17,NaN,NaN,NaN,NaN,79.9,17
deepseek-v3.2-exp-thinking,1422.0,1428.0,1472.0,1414.0,1394.0,1442.0,1438.0,88.0,13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79.0,14,38.0,28,NaN,NaN,NaN,NaN,34.0,42,29.0,12,NaN,NaN,54.0,18,NaN,NaN,NaN,NaN,NaN,NaN,69.0,5,NaN,NaN,NaN,NaN,85.0,11,NaN,NaN,80.0,13,14.0,16,NaN,NaN
deepseek-v3.2-thinking,1422.0,1425.0,1466.0,1414.0,1408.0,1438.0,1433.0,92.0,6,NaN,NaN,NaN,NaN,90.2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86.0,5,39.0,23,73.1,5,NaN,NaN,91.0,1,33.0,6,NaN,NaN,61.0,10,NaN,NaN,NaN,NaN,NaN,NaN,65.0,13,NaN,NaN,NaN,NaN,86.0,9,82.39999999999999,10,84.0,6,22.0,6,82.39999999999999,10
ernie-5.0-preview-1103,1429.0,1415.0,1466.0,1389.0,1407.0,1436.0,1426.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
gemini-1.5-pro-002,1351.0,1340.0,1354.0,1334.0,1358.0,1349.0,1332.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82.8,25,89.2,34,NaN,NaN,84.1,12,NaN,NaN,24.0,63,27.0,58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,58.804,27,NaN,NaN,0.8,18,NaN,NaN,66.0,64,NaN,NaN,37.0,65,4.0,58,NaN,NaN
gemini-2.0-flash-001,1360.0,1358.0,1363.0,1344.0,1346.0,1359.0,1351.0,22.0,53,1.7,25,NaN,NaN,NaN,NaN,88.0,21,89.0182,35,NaN,NaN,NaN,NaN,NaN,NaN,33.0,59,33.0,48,NaN,NaN,13.52,17,30.0,48,4.0,53,NaN,NaN,40.0,41,NaN,NaN,1053.6,25,66.802,24,28.0,47,1.3,16,NaN,NaN,78.0,47,NaN,NaN,62.0,54,5.0,45,NaN,NaN
gemini-2.0-flash-lite-preview-02-05,1352.0,1328.0,1342.0,1327.0,1344.0,1347.0,1326.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.0,64,25.0,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72.0,60,NaN,NaN,54.0,60,4.0,58,NaN,NaN
gemini-2.5-flash,1408.0,1413.0,1422.0,1402.0,1398.0,1415.0,1428.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.6111,18,NaN,NaN,NaN,NaN,60.4,16,NaN,NaN,NaN,NaN,NaN,NaN,16.9,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50.39963457012847,7,NaN,NaN,82.8,9,NaN,NaN,NaN,NaN,82.8,9
gemini-2.5-flash-lite-preview-06-17-thinking,1375.0,1372.0,1384.0,1367.0,1370.0,1381.0,1366.0,53.0,41,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,59.0,37,19.0,64,NaN,NaN,NaN,NaN,18.0,55,4.0,53,NaN,NaN,50.0,22,NaN,NaN,NaN,NaN,NaN,NaN,51.0,27,NaN,NaN,NaN,NaN,76.0,53,NaN,NaN,63.0,52,6.0,42,NaN,NaN
gemini-2.5-flash-lite-preview-09-2025-no-thinking,1378.0,1370.0,1393.0,1360.0,1360.0,1389.0,1383.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89.5273,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
gemini-2.5-flash-preview-09-2025,1405.0,1422.0,1424.0,1400.0,1382.0,1418.0,1442.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91.8,13,89.8545,28,47.1,19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1095.2,22,NaN,NaN,NaN,NaN,2.5,14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
gemini-2.5-pro,1451.0,1453.0,1470.0,1444.0,1452.0,1463.0,1465.0,88.0,13,14.1,10,4.2,6,NaN,NaN,NaN,NaN,NaN,NaN,83.1,2,NaN,NaN,17.0833,6,80.0,12,43.0,6,67.2,13,53.6,10,54.0,25,25.0,17,32.6,3,49.0,23,NaN,NaN,1368.4,9,79.26,7,66.0,10,4.9,9,62.05365688033265,2,86.0,9,86.4,4,84.0,6,21.0,7,86.4,4
gemini-3-pro,1490.0,1480.0,1520.0,1474.0,1489.0,1505.0,1504.0,96.0,1,37.6,1,18.8,1,NaN,NaN,96.4,1,93.9273,4,NaN,NaN,NaN,NaN,38.8333,1,92.0,1,56.0,1,76.2,2,74.2,2,87.0,4,39.0,3,54.2,1,70.0,6,NaN,NaN,1426.8,5,78.498,9,71.0,4,54.0,1,68.81958831381151,1,90.0,1,91.9,1,91.0,1,37.0,1,91.9,1
gemini-advanced-0514,1334.0,1304.0,1336.0,1310.0,1342.0,1323.0,1289.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
gemma-3-12b-it,1340.0,1322.0,1317.0,1317.0,1331.0,1330.0,1269.0,18.0,56,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85.39999999999999,11,NaN,NaN,14.0,65,17.0,65,NaN,NaN,NaN,NaN,11.0,56,1.0,58,NaN,NaN,37.0,51,88.9,5,1063.0,24,NaN,NaN,7.0,55,NaN,NaN,NaN,NaN,60.0,66,NaN,NaN,35.0,66,5.0,45,NaN,NaN
gemma-3-27b-it,1364.0,1325.0,1359.0,1340.0,1347.0,1363.0,1332.0,21.0,54,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.9,31,87.8,10,NaN,NaN,14.0,65,21.0,63,NaN,NaN,NaN,NaN,11.0,56,4.0,53,NaN,NaN,32.0,57,90.4,2,1175.8,18,NaN,NaN,6.0,56,NaN,NaN,NaN,NaN,67.0,63,NaN,NaN,43.0,64,5.0,45,NaN,NaN
glm-4-plus-0111,1343.0,1299.0,1329.0,1312.0,1318.0,1324.0,1306.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
glm-4.5,1409.0,1420.0,1454.0,1404.0,1375.0,1431.0,1440.0,74.0,28,NaN,NaN,NaN,NaN,NaN,NaN,94.0,9,90.8364,25,NaN,NaN,NaN,NaN,2.9167,17,74.0,21,35.0,44,64.2,15,NaN,NaN,43.0,35,21.0,22,NaN,NaN,44.0,29,NaN,NaN,1235.9,16,NaN,NaN,48.0,32,NaN,NaN,NaN,NaN,84.0,16,79.10000000000001,18,78.0,18,12.0,19,79.10000000000001,18
glm-4.5-air,1370.0,1396.0,1426.0,1360.0,1327.0,1389.0,1388.0,81.0,22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,68.0,26,31.0,51,57.6,17,NaN,NaN,47.0,30,19.0,25,NaN,NaN,38.0,49,NaN,NaN,NaN,NaN,NaN,NaN,44.0,34,NaN,NaN,NaN,NaN,82.0,30,75.0,25,73.0,35,7.0,38,75.0,25
glm-4.5v,1352.0,1365.0,1403.0,1336.0,1308.0,1370.0,1404.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
glm-4.6,1424.0,1428.0,1462.0,1415.0,1400.0,1442.0,1442.0,44.0,43,3.8,22,2.1,12,NaN,NaN,NaN,NaN,89.7455,29,NaN,NaN,NaN,NaN,4.3333,16,56.0,42,33.0,48,68.0,11,55.4,8,77.0,11,27.0,15,24.5,6,37.0,51,NaN,NaN,1318.3,13,NaN,NaN,26.0,48,NaN,NaN,NaN,NaN,78.0,47,81.0,14,63.0,52,5.0,45,81.0,14
gpt-4.1-2025-04-14,1412.0,1374.0,1454.0,1396.0,1399.0,1428.0,1400.0,35.0,49,5.5,18,0.0,17,28.9,10,87.2,23,87.6727,37,52.4,16,NaN,NaN,NaN,NaN,46.0,51,38.0,28,54.6,19,39.58,13,47.0,30,13.0,37,NaN,NaN,43.0,31,87.4,14,1377.3,7,70.902,21,61.0,16,0.4,21,50.46573342929961,6,81.0,37,NaN,NaN,67.0,43,5.0,45,NaN,NaN
gpt-4.1-mini-2025-04-14,1381.0,1357.0,1432.0,1367.0,1345.0,1399.0,1380.0,46.0,42,4.5,19,NaN,NaN,35.0,8,88.0,21,87.7818,36,32.4,26,NaN,NaN,NaN,NaN,48.0,48,40.0,14,NaN,NaN,23.94,16,53.0,27,7.0,45,NaN,NaN,38.0,49,84.1,16,1069.7,23,NaN,NaN,42.0,37,0.0,22,NaN,NaN,78.0,47,NaN,NaN,66.0,44,5.0,45,NaN,NaN
gpt-4.5-preview-2025-02-27,1443.0,1413.0,1457.0,1432.0,1434.0,1437.0,1426.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,44.9,21,88.0,9,NaN,NaN,NaN,NaN,NaN,NaN,38.0,25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88.2,9,1125.1,20,67.612,23,NaN,NaN,0.8,18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
gpt-4o-2024-05-13,1345.0,1307.0,1366.0,1320.0,1336.0,1335.0,1306.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74.0,29,90.3636,27,18.2,29,90.2,5,NaN,NaN,NaN,NaN,NaN,NaN,33.2,26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81.0,18,NaN,NaN,NaN,NaN,NaN,NaN,0.0,22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
gpt-4o-2024-08-06,1334.0,1310.0,1358.0,1313.0,1324.0,1324.0,1305.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75.2,28,90.6909,26,23.1,27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
gpt-5-chat,1425.0,1415.0,1459.0,1412.0,1388.0,1446.0,1443.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
gpt-5-high,1436.0,1438.0,1469.0,1411.0,1381.0,1448.0,1458.0,94.0,2,32.4,2,12.5,2,NaN,NaN,NaN,NaN,NaN,NaN,88.0,1,NaN,NaN,NaN,NaN,85.0,7,43.0,6,NaN,NaN,NaN,NaN,85.0,6,31.0,9,NaN,NaN,73.0,2,NaN,NaN,NaN,NaN,NaN,NaN,76.0,1,9.9,4,NaN,NaN,87.0,5,NaN,NaN,85.0,5,27.0,3,NaN,NaN
gpt-5-mini-high,1392.0,1414.0,1429.0,1373.0,1329.0,1404.0,1404.0,91.0,7,27.2,4,6.3,4,87.8,3,94.8,4,92.5818,10,NaN,NaN,NaN,NaN,6.75,12,84.0,8,39.0,23,NaN,NaN,59.8,7,68.0,16,31.0,9,24.0,7,75.0,1,NaN,NaN,1209.0,17,NaN,NaN,68.0,7,4.4,10,45.928825086229416,11,84.0,16,82.3,11,83.0,8,20.0,8,82.3,11
gpt-5-nano-high,1338.0,1356.0,1380.0,1322.0,1253.0,1353.0,1357.0,84.0,19,8.3,13,2.1,12,75.6,7,93.8,10,89.3091,32,NaN,NaN,NaN,NaN,NaN,NaN,79.0,14,37.0,32,NaN,NaN,34.8,14,37.0,37,11.0,40,7.9,12,68.0,9,NaN,NaN,612.6,29,NaN,NaN,42.0,37,2.6,13,NaN,NaN,78.0,47,NaN,NaN,68.0,40,8.0,34,NaN,NaN
gpt-5.1,1438.0,1418.0,1479.0,1426.0,1408.0,1456.0,1465.0,38.0,47,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92.9818,8,NaN,NaN,NaN,NaN,21.5,4,49.0,47,37.0,32,76.3,1,NaN,NaN,47.0,30,21.0,22,47.6,2,43.0,31,NaN,NaN,NaN,NaN,NaN,NaN,44.0,34,NaN,NaN,49.36745512140127,8,80.0,41,88.1,2,64.0,50,5.0,45,88.1,2
gpt-5.1-high,1455.0,1474.0,1488.0,1445.0,1435.0,1473.0,1484.0,94.0,2,31.0,3,12.5,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87.0,3,43.0,6,NaN,NaN,NaN,NaN,82.0,8,43.0,2,NaN,NaN,73.0,2,NaN,NaN,NaN,NaN,NaN,NaN,75.0,2,NaN,NaN,NaN,NaN,87.0,5,NaN,NaN,87.0,3,27.0,3,NaN,NaN
gpt-oss-120b,1353.0,1387.0,1389.0,1322.0,1282.0,1360.0,1359.0,93.0,4,NaN,NaN,NaN,NaN,NaN,NaN,94.8,4,92.0364,17,41.8,22,NaN,NaN,NaN,NaN,88.0,2,39.0,23,NaN,NaN,26.0,15,66.0,17,22.0,21,18.7,10,69.0,7,NaN,NaN,951.6,26,NaN,NaN,51.0,27,NaN,NaN,NaN,NaN,81.0,37,80.10000000000001,16,78.0,18,19.0,10,80.10000000000001,16
grok-2-2024-08-13,1334.0,1295.0,1357.0,1307.0,1316.0,1323.0,1309.0,NaN,NaN,0.7,30,NaN,NaN,NaN,NaN,78.4,26,86.1455,38,NaN,NaN,88.4,7,NaN,NaN,27.0,62,28.0,56,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71.0,61,NaN,NaN,51.0,63,4.0,58,NaN,NaN
grok-3-mini-beta,1357.0,1373.0,1384.0,1352.0,1336.0,1369.0,1375.0,NaN,NaN,2.8,24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.7,24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
grok-3-mini-high,1362.0,1395.0,1387.0,1358.0,1331.0,1375.0,1399.0,85.0,18,5.9,16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,49.3,18,NaN,NaN,NaN,NaN,70.0,25,41.0,10,NaN,NaN,NaN,NaN,90.0,2,16.0,29,NaN,NaN,46.0,27,NaN,NaN,NaN,NaN,NaN,NaN,50.0,31,NaN,NaN,NaN,NaN,83.0,26,NaN,NaN,79.0,15,11.0,25,NaN,NaN
grok-3-preview-02-24,1410.0,1380.0,1442.0,1403.0,1398.0,1423.0,1402.0,58.0,38,3.8,22,0.0,17,NaN,NaN,89.8,19,91.3455,20,53.3,15,NaN,NaN,NaN,NaN,43.0,52,37.0,32,NaN,NaN,NaN,NaN,49.0,29,11.0,40,NaN,NaN,47.0,26,NaN,NaN,1128.0,19,71.718,20,55.0,21,0.0,22,NaN,NaN,80.0,41,84.6,5,69.0,39,5.0,45,84.6,5
grok-4-0709,1409.0,1437.0,1432.0,1394.0,1395.0,1417.0,1431.0,93.0,4,19.7,8,2.1,12,NaN,NaN,96.2,2,90.9091,22,79.6,3,NaN,NaN,26.1667,2,82.0,10,46.0,4,NaN,NaN,NaN,NaN,75.0,12,38.0,4,23.1,9,54.0,18,NaN,NaN,NaN,NaN,74.654,13,68.0,7,16.0,2,53.58011281715549,3,87.0,5,87.5,3,88.0,2,24.0,5,87.5,3
grok-4-1-fast-reasoning,1430.0,1406.0,1455.0,1397.0,1408.0,1438.0,1443.0,34.0,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89.5273,30,NaN,NaN,NaN,NaN,7.6667,11,40.0,54,30.0,53,NaN,NaN,NaN,NaN,64.0,19,14.0,33,NaN,NaN,37.0,51,NaN,NaN,1268.5,14,NaN,NaN,22.0,51,NaN,NaN,NaN,NaN,74.0,55,NaN,NaN,64.0,50,5.0,45,NaN,NaN
grok-4-fast-chat,1420.0,1426.0,1454.0,1400.0,1382.0,1430.0,1424.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
grok-4-fast-reasoning,1402.0,1412.0,1438.0,1384.0,1377.0,1410.0,1414.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90.8727,23,NaN,NaN,NaN,NaN,11.5,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.3,8,35.98614903466032,14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
grok-4.1,1464.0,1430.0,1492.0,1430.0,1427.0,1477.0,1456.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
grok-4.1-thinking,1477.0,1456.0,1508.0,1440.0,1436.0,1490.0,1484.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
intellect-3,1355.0,1400.0,1406.0,1331.0,1304.0,1371.0,1371.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ling-flash-2.0,1346.0,1358.0,1412.0,1315.0,1272.0,1365.0,1359.0,65.0,37,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,59.0,37,29.0,55,NaN,NaN,NaN,NaN,21.0,54,10.0,43,NaN,NaN,34.0,55,NaN,NaN,NaN,NaN,NaN,NaN,15.0,53,NaN,NaN,NaN,NaN,78.0,47,NaN,NaN,66.0,44,6.0,42,NaN,NaN
longcat-flash-chat,1400.0,1428.0,1474.0,1388.0,1332.0,1425.0,1419.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
mai-1-preview,1391.0,1400.0,1429.0,1369.0,1359.0,1402.0,1400.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
mimo-v2-flash (non-thinking),1388.0,NaN,1423.0,1389.0,1352.0,1414.0,NaN,68.0,33,NaN,NaN,NaN,NaN,84.39999999999999,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,40.0,54,26.0,59,73.4,3,NaN,NaN,84.0,7,24.0,18,NaN,NaN,40.0,41,NaN,NaN,NaN,NaN,NaN,NaN,31.0,45,NaN,NaN,NaN,NaN,74.0,55,83.7,7,66.0,44,8.0,34,83.7,7
mistral-large-3,1417.0,1422.0,1471.0,1408.0,1368.0,1440.0,1409.0,38.0,47,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,47.0,49,36.0,36,NaN,NaN,NaN,NaN,25.0,51,15.0,30,NaN,NaN,36.0,54,NaN,NaN,1332.3,12,NaN,NaN,35.0,42,NaN,NaN,NaN,NaN,81.0,37,NaN,NaN,68.0,40,4.0,58,NaN,NaN
mistral-medium-2505,1383.0,1353.0,1429.0,1360.0,1360.0,1397.0,1377.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87.0,24,90.8727,23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
